anio,ciiuc,cod_ciudad,caja,inversiones,activo_corriente,activo_no_corriente,activo,obl_finan,proveedores,obl_laborales,pasivo_corriente,pasivo_no_corriente,pasivo,patrimonio,ing_operacionales,utilidad,sectorppal2,ing2,ing2_def,id
2005,5219,68001,98527,5537,1476642,176713,1653355,113262,824248,44551,1135692,179444,1315136,338219,5593344,91958,5219,5810556,58352,97
2005,5229,11001,3825,567,165670,15463,181133,0,12628,495,61525,0,61525,119608,335837,11366,5229,335837,3372,1087
2005,5211,76001,437755,0,2816161,1033500,3849661,588597,2165894,88700,3105520,0,3105520,744141,31669288,52424,5211,31759331,318944,1964
2005,5229,13001,1500,0,1007988,4271030,5279018,0,1732219,15314,2320075,0,2320075,2958943,2289252,-616957,5229,2294452,23042,2022
2005,5223,5001,99126,23790,25503673,9889697,35393370,8717299,5295611,229327,15005704,16287459,31293163,4100207,56125129,451098,5223,57518709,577768,2280
2005,5229,5001,9034168,12856789,206238939,238976399,445215338,308200,57413470,10508163,122012554,9523463,131536017,313679321,813011127,45337384,5229,816915808,8205606,2429
2005,5229,11001,22954,0,153573,24768,178341,0,83087,5367,121518,0,121518,56823,604985,4888,5229,610320,6129,3213
2005,5219,11001,1000,0,216859,28449,245308,26653,68066,2856,133364,0,133364,111944,471932,7128,5219,471932,4739,3498
2005,5211,25269,0,0,621852,114586,736438,235421,70279,12859,495805,45996,541801,194637,1753460,-23594,5211,1753460,17609,4091
2005,5219,11001,927,0,160750,192290,353040,0,93516,0,94147,5170,99317,253723,396132,5988,5219,396132,3978,4498
2005,5229,11001,500,1925,431704,418551,850255,69153,37541,12847,164393,0,164393,685862,607848,10375,5229,607848,6104,4668
2005,5222,76001,208029,10682,8371150,20704905,29076055,1879616,3627652,383509,7505181,5806936,13312117,15763938,91090215,727690,5222,91724790,921219,5532
2005,5229,76892,880,128,1461117,436300,1897417,255796,344420,20717,741566,1452,743018,1154399,2670819,143226,5229,2704707,27167,5797
2005,5225,17001,150,2476,303417,136173,439590,0,0,0,9229,0,9229,430361,569719,25135,5225,572164,5745,6010
2006,5219,68001,50112,22737,1475191,203768,1678959,153951,875930,53162,1266229,115244,1381473,297486,6761216,72466,5219,6914077,66646,97
2006,5223,11001,11120,3052,455965,618759,1074724,187000,11819,10208,696381,0,696381,378343,516907,-30802,5223,517265,4986,250
2006,5211,76001,370158,0,3104016,1788244,4892260,894201,2627948,84144,3896166,66511,3962677,929583,33906963,69525,5211,33980694,327547,1964
2006,5219,73001,65873,14690,2783838,161070,2944908,5733,1288780,24988,2000456,0,2000456,944452,8225885,183351,5219,8864693,85448,2051
2006,5211,5001,2967,4157,615308,886023,1501331,163698,361228,48386,679626,173351,852977,648354,8732090,15210,5211,8732090,84170,2138
